kepid,kepoi_name,koi_pdisposition,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_sparprov,koi_vet_stat,koi_vet_date,ra,dec,koi_kepmag
11509504,K04232.01,CANDIDATE,CANDIDATE,2.61574758,1.25E-05,-1.25E-05,131.9807,2.77E-03,-2.77E-03,1.41E+02,1.03E+01,-1.03E+01,2.634,0.114,-0.114,0.038,1.93E-01,-1.93E-01,0.48,3.90E+00,-3.90E+00,86,4.21E+01,-4.21E+01,0.0363361,1.15E-07,-1.15E-07,0,,,,,,6.8,15.6,-15.6,0.01117,5.22E-03,-5.22E-03,1.167,0.546,-0.546,1379,346,-346,6088,197,-197,4.446,0.337,-0.337,0.958,0.476,-0.476,-0.4,0.3,-0.3,q1_q16_stellar,Active,12/19/13,292.988342,49.48497,15.18
6599949,K04233.01,FALSE POSITIVE,FALSE POSITIVE,409.15016,2.80E-02,-2.80E-02,265.2306,5.58E-02,-5.58E-02,6.60E+02,1.04E+02,-1.04E+02,26.08,2.7,-2.7,8.47,3.90E+00,-3.90E+00,0.9654,1.54E-02,-1.54E-02,88.72,2.46E-01,-2.46E-01,1.03585,4.72E-05,-4.72E-05,0,,,,,,43.23,7.7,-7.7,0.03057,3.28E-03,-3.28E-03,3.039,0.326,-0.326,244.5,64.3,-64.3,5910,173,-173,4.466,0.338,-0.338,0.911,0.476,-0.476,-0.38,0.32,-0.32,q1_q16_stellar,Active,12/19/13,289.906982,42.0462,15.42
11611275,K04234.01,CANDIDATE,CANDIDATE,6.94244853,4.51E-05,-4.51E-05,135.95865,4.92E-03,-4.92E-03,1.70E+02,1.25E+01,-1.25E+01,3.422,0.318,-0.318,0.05,4.80E-01,-4.80E-01,0.43,8.40E+00,-8.40E+00,88.3,4.13E+01,-4.13E+01,0.074233,3.22E-07,-3.22E-07,0,,,,,,14.2,61.4,-61.4,0.0122,1.11E-02,-1.11E-02,1.37,1.2,-1.2,1004,339,-339,6108,264,-264,4.466,0.419,-0.419,1.03,0.69,-0.69,0.07,0.37,-0.37,q1_q16_stellar,Active,12/19/13,292.158661,49.63776,15.158
10794974,K04235.01,CANDIDATE,CANDIDATE,66.6433203,2.87E-04,-2.87E-04,170.08315,3.26E-03,-3.26E-03,2.38E+02,1.87E+01,-1.87E+01,1.788,0.164,-0.164,0.034,1.72E-01,-1.72E-01,0.5,3.40E+00,-3.40E+00,89.89,1.00E+00,-1.00E+00,0.347911,9.98E-07,-9.98E-07,0,,,,,,251,574,-574,0.01464,6.16E-03,-6.16E-03,2.272,0.955,-0.955,589,212,-212,6609,242,-242,4.234,0.402,-0.402,1.422,1.019,-1.019,-0.08,0.4,-0.4,q1_q16_stellar,Active,12/19/13,290.922699,48.180328,13.224
2449101,K04236.01,FALSE POSITIVE,FALSE POSITIVE,0.739761,9.90E-06,-9.90E-06,131.8044,4.80E-03,-4.80E-03,1.18E+02,1.60E+01,-1.60E+01,1.31,0.11,-0.11,0.46,1.60E-01,-1.60E-01,0.9854,6.80E-03,-6.80E-03,17.7,2.80E+00,-2.80E+00,0.012722,1.10E-07,-1.10E-07,0,,,,,,1.0341,0.0098,-0.0098,0.0143,1.70E-03,-1.70E-03,0.763,0.09,-0.09,1035,62,-62,,,,,,,0.49,0,0,,,,,Active,7/31/13,292.698547,37.778481,15.049
7259249,K04237.01,FALSE POSITIVE,FALSE POSITIVE,0.950719236,6.19E-06,-6.19E-06,131.79201,1.28E-03,-1.28E-03,1.89E+02,1.67E+01,-1.67E+01,1.2116,0.0683,-0.0683,0.032,1.09E-01,-1.09E-01,0.71,1.10E+00,-1.10E+00,80.7,2.91E+01,-2.91E+01,0.0195814,8.51E-08,-8.51E-08,0,,,,,,4.36,6.5,-6.5,0.01356,4.55E-03,-4.55E-03,1.487,0.499,-0.499,1909,696,-696,6039,294,-294,4.478,0.441,-0.441,1.005,0.726,-0.726,0.07,0.35,-0.35,q1_q16_stellar,Active,12/19/13,282.927734,42.80608,15.156
8678691,K04238.01,FALSE POSITIVE,FALSE POSITIVE,369.7167,8.50E-03,-8.50E-03,179.431,1.20E-02,-1.20E-02,1.60E+03,1.53E+02,-1.53E+02,11.2,2.1,-2.1,0.4,2.60E+00,-2.60E+00,0,1.10E+01,-1.10E+01,89.9,2.70E+00,-2.70E+00,0.881456,1.30E-05,-1.30E-05,0,,,,,,254,689,-689,0.035,3.10E-02,-3.10E-02,2.5,2.2,-2.2,177,3.6,-3.6,,,,,,,0.644,0,0,,,,,Active,7/31/13,287.225128,44.899841,15.089
9640924,K04239.01,FALSE POSITIVE,FALSE POSITIVE,2.178126397,8.62E-06,-8.62E-06,132.03393,1.99E-03,-1.99E-03,1.43E+02,1.06E+01,-1.06E+01,1.975,0.224,-0.224,0.118,5.59E-01,-5.59E-01,0.893,5.08E-01,-5.08E-01,77.2,3.45E+01,-3.45E+01,0.0339662,8.96E-08,-8.96E-08,0,,,,,,4.02,8.3,-8.3,0.01283,5.27E-03,-5.27E-03,1.608,0.66,-0.66,1606,598,-598,6260,276,-276,4.36,0.405,-0.405,1.148,0.849,-0.849,-0.04,0.34,-0.34,q1_q16_stellar,Active,12/19/13,287.966553,46.33849,14.975
9593773,K04240.01,FALSE POSITIVE,FALSE POSITIVE,3.13388983,2.72E-05,-2.72E-05,133.55031,6.87E-03,-6.87E-03,2.57E+02,1.42E+01,-1.42E+01,4.311,0.748,-0.748,5.7,5.63E+01,-5.63E+01,0.9966,5.81E-02,-5.81E-02,43.8,1.31E+01,-1.31E+01,0.0431854,2.50E-07,-2.50E-07,0,,,,,,1.381,0.224,-0.224,0.0271,3.64E-02,-3.64E-02,3.02,4.1,-4.1,1320,451,-451,6147,249,-249,4.457,0.417,-0.417,1.023,0.694,-0.694,-0.06,0.34,-0.34,q1_q16_stellar,Active,12/19/13,294.112366,46.252708,15.725
9285568,K04241.01,FALSE POSITIVE,FALSE POSITIVE,2.55315047,9.25E-06,-9.25E-06,132.44811,2.05E-03,-2.05E-03,2.16E+02,1.65E+01,-1.65E+01,1.81,0.143,-0.143,0.025,2.23E-01,-2.23E-01,0.2,2.04E+01,-2.04E+01,89,1.13E+02,-1.13E+02,0.0365431,8.82E-08,-8.82E-08,0,,,,,,10.7,42.9,-42.9,0.0135,1.15E-02,-1.15E-02,1.34,1.1,-1.1,1313,325,-325,5970,222,-222,4.521,0.342,-0.342,0.908,0.444,-0.444,-0.18,0.26,-0.26,q1_q16_stellar,Active,12/19/13,293.743256,45.761589,15.424
