pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_disc,pl_status,pl_mnum
4 UMa,b,Radial Velocity,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,,,,,,,,,,,,,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,0,4.61,,0,0,4415,70,0,0,1.23,0.15,0,0,18.11,1.47,0,0,HD 73108,HIP 42527,4 UMa b,0,1,0,0,0,0,2452987.394,4.31,-4.31,0,23.81,4.42,-4.42,0,,,,,,,,,2256.5,508.5,-508.5,0,,,,,,,,,,,,,,,,,,,,,2006,3,0
6 Lyn,b,Radial Velocity,1,874.774,16.27,-8.47,0,2.18,0.05,-0.06,0,0.059,,,0,,,,,2.21,0.11,-0.16,0,,,,,,,,,,,,,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,2.36,-2.58,0,5.88,,0,0,4978,18,0,0,1.7,0.1,0,0,5.2,0.4,0,0,HD 45410,HIP 31039,6 Lyn b,0,1,0,0,0,0,2454024.5,180.2,-130.9,0,314.9,75.5,-52.6,0,,,,,,,,,702.37,34.96,-50.85,0,,,,,,,,,,,,,,,,,,,,,2008,3,0
7 CMa,b,Radial Velocity,1,763,17,-17,0,1.9,0.1,-0.1,0,0.14,0.06,-0.06,0,,,,,2.6,0.6,-0.6,0,,,,,,,,,,,,,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0.27,-0.28,0,3.92,,0,0,4792,100,0,0,1.52,0.3,0,0,2.3,0.1,0,0,HD 47205,HIP 31592,7 CMa b,0,1,0,0,0,0,2455520,89,-89,0,12,41,-41,0,,,,,,,,,826.3,190.7,-190.7,0,,,,,,,,,,,,,,,,,,,,,2011,3,0
11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,,,,,,,,,,,,,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0,4.74,,0,0,4742,100,0,0,2.7,0.3,0,0,19,2,0,0,HD 107383,HIP 60202,11 Com b,0,1,0,0,0,0,2452899.6,1.6,-1.6,0,94.8,1.5,-1.5,0,,,,,,,,,6165.6,476.7,-476.7,0,,,,,,,,,,,,,,,,,,,,,2007,3,0
11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,10.5,2.47,-2.47,0,,,,,,,,,,,,,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,4340,70,0,0,1.8,0.25,0,0,24.08,1.84,0,0,HD 136726,HIP 74793,11 UMi b,0,1,0,0,0,0,2452861.04,2.06,-2.06,0,117.63,21.06,-21.06,0,,,,,,,,,3337.07,785.01,-785.01,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
14 And,b,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,,,,,,,,,,,,,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0,5.22,,0,0,4813,20,0,0,2.2,0.1,0,0,11,1,0,0,HD 221345,HIP 116076,14 And b,0,1,0,0,0,0,2452861.4,1.5,-1.5,0,0,,,0,,,,,,,,,1525.5,,,0,,,,,,,,,,,,,,,,,,,,,2008,3,0
14 Her,b,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,,,,,4.64,0.19,-0.19,0,,,,,,,,,,,,,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.2,0,6.605,0.01,0,0,5311,87,0,0,0.9,,0,0,,,,,HD 145675,HIP 79248,14 Her b,0,1,0,0,0,0,2451372.7,3.6,-3.6,0,22.6,0.9,-0.9,0,,,,,,,,,1474.67,60.39,-60.39,0,,,,,,,,,,,,,,,,,,,,,2002,3,0
16 Cyg B,b,Radial Velocity,1,798.5,1,-1,0,1.681,0.097,-0.097,0,0.681,0.017,-0.017,0,1.68,0.15,-0.15,0,,,,,,,,,,,,,,,,,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.24,-0.24,0,6.2,,0,0,5760,20,0,0,1,0.05,0,0,,,,,HD 186427,HIP 96901,16 Cyg B b,0,1,0,0,0,0,2446549.1,6.6,-6.6,0,85.8,2.4,-2.4,0,,,,,533.93,47.67,-47.67,0,,,,,,,,,,,,,,,,,,,,,,,,,1996,3,0
18 Del,b,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,,,,,,,,,,,,,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,0,5.506,0.009,0,0,4979,18,0,0,2.3,,0,0,8.5,,0,0,HD 199665,HIP 103527,18 Del b,0,1,0,0,0,0,2451672,18,-18,0,166.1,6.5,-6.5,0,,,,,,,,,3273.5,,,0,,,,,,,,,,,,,,,,,,,,,2008,3,0
24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,,,,,,,,,,,,,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,5098,44,0,0,1.54,0.08,0,0,4.9,0.08,0,0,HD 90043,HIP 50887,24 Sex b,0,1,0,0,0,0,2454762,67.3,-172.3,0,9.2,277.9,-165.4,0,,,,,,,,,632.46,82.63,-120.77,0,,,,,,,,,,,,,,,,,,,,,2010,3,0
